method,scene,precision,recall,f1
CLRNet,小雨,64.58539575355056,68.9614559868307,66.60655125971272
CLRNet,中雨,82.70383126330586,84.61067601692602,83.56606283173626
CLRNet,大雨,86.78075396825396,86.60891089108911,86.69474727452923
CLRNet,强反光/积水,69.42640692640693,70.80573951434879,70.10928961748635
CLRNet,明显遮挡,69.37608766404058,70.0681148748159,69.71940424868981
CLRNet-FGM,小雨,64.94700592003136,67.96888537515161,66.36557254734537
CLRNet-FGM,中雨,83.25712758429653,85.22556647556647,84.14032599105838
CLRNet-FGM,大雨,87.09109209864117,85.66831683168317,86.37384576990267
CLRNet-FGM,强反光/积水,69.73032471106218,69.92273730684326,69.82639845687515
CLRNet-FGM,明显遮挡,69.79648663993437,69.04970544918999,69.4203440807437
