model,train_epoch,train_loss,eval_epoch,eval_f1
CLRNet,0,17.919,0.0,48.92956940746771
CLRNet,0,2.2637,1.0,52.86242227090664
CLRNet,0,1.7736,2.0,54.6180304896174
CLRNet,0,1.681,3.0,52.149284298132855
CLRNet,0,1.5929,4.0,54.26047064820321
CLRNet,1,1.6039,5.0,56.32748538011697
CLRNet,1,1.5073,6.0,54.769588227701036
CLRNet,1,1.4935,7.0,57.650150631369776
CLRNet,1,1.4288,8.0,57.02507729302646
CLRNet,1,1.3768,9.0,57.76696921005776
CLRNet,2,1.3865,10.0,58.11707005011194
CLRNet,2,1.4069,11.0,57.10544955034235
CLRNet,2,1.3372,12.0,57.54109308688253
CLRNet,2,1.3158,13.0,57.3787454192714
CLRNet,2,1.28,14.0,58.797988048665154
CLRNet,3,1.2852,15.0,58.87726220087486
CLRNet,3,1.3087,16.0,58.8053553038105
CLRNet,3,1.2911,17.0,58.35644493749199
CLRNet,3,1.2442,18.0,58.541800299337176
CLRNet,3,1.205,19.0,59.55667981478307
CLRNet,4,1.2123,20.0,59.09403472580368
CLRNet,4,1.2391,21.0,59.324434525086915
CLRNet,4,1.2149,22.0,59.423093457140396
CLRNet,4,1.2443,23.0,59.31740467536937
CLRNet,4,1.2409,24.0,59.396362698310334
CLRNet,5,1.2461,,
CLRNet,5,1.2177,,
CLRNet,5,1.1525,,
CLRNet,5,1.1896,,
CLRNet,5,1.1662,,
CLRNet,6,1.1621,,
CLRNet,6,1.154,,
CLRNet,6,1.1787,,
CLRNet,6,1.1224,,
CLRNet,6,1.1547,,
CLRNet,7,1.1477,,
CLRNet,7,1.1204,,
CLRNet,7,1.1419,,
CLRNet,7,1.1186,,
CLRNet,7,1.1512,,
CLRNet,8,1.1432,,
CLRNet,8,1.097,,
CLRNet,8,1.1161,,
CLRNet,8,1.0928,,
CLRNet,8,1.0832,,
CLRNet,9,1.0844,,
CLRNet,9,1.0255,,
CLRNet,9,1.0747,,
CLRNet,9,1.0324,,
CLRNet,9,1.0544,,
CLRNet,10,1.0491,,
CLRNet,10,1.0678,,
CLRNet,10,1.0415,,
CLRNet,10,1.0233,,
CLRNet,10,1.0322,,
CLRNet,11,1.0342,,
CLRNet,11,0.9907,,
CLRNet,11,1.0305,,
CLRNet,11,0.9877,,
CLRNet,11,0.9931,,
CLRNet,12,0.9885,,
CLRNet,12,1.0012,,
CLRNet,12,0.9686,,
CLRNet,12,0.9699,,
CLRNet,12,0.9603,,
CLRNet,13,0.959,,
CLRNet,13,0.9729,,
CLRNet,13,0.9452,,
CLRNet,13,0.9317,,
CLRNet,13,0.953,,
CLRNet,14,0.9502,,
CLRNet,14,0.9029,,
CLRNet,14,0.8903,,
CLRNet,14,0.9536,,
CLRNet,14,0.9228,,
CLRNet,15,0.9194,,
CLRNet,15,0.92,,
CLRNet,15,0.9005,,
CLRNet,15,0.913,,
CLRNet,15,0.8928,,
CLRNet,16,0.8935,,
CLRNet,16,0.9057,,
CLRNet,16,0.8545,,
CLRNet,16,0.8804,,
CLRNet,16,0.879,,
CLRNet,17,0.8804,,
CLRNet,17,0.8439,,
CLRNet,17,0.8705,,
CLRNet,17,0.8604,,
CLRNet,17,0.8652,,
CLRNet,18,0.8675,,
CLRNet,18,0.803,,
CLRNet,18,0.8331,,
CLRNet,18,0.8361,,
CLRNet,18,0.8529,,
CLRNet,19,0.845,,
CLRNet,19,0.8019,,
CLRNet,19,0.7966,,
